area,topic,subtopic,question,answer
Project Management,BMS,Controls,"In internal PM reporting, what is meant by ""Cost ITD""? ",Actual cost incurred to date without the margin. 
Project Management,BMS,Controls,"In internal PM reporting, what is meant by ""Reporting currency""? ","Functional currency of the Business unit so Galway Euro, UK GBP, even if the order is issued in a different currency. "
Subsea Engineering,Materials,Bolts,Should Xylan coating be specified for bolts in subsea applications?,"No, because it interferes with the CP system and acts as an isolator, making CP protection (of the bolts) ineffective. Also, the coating can get damaged when torqing up. It is more common in onshore structures/pipelines. It does make bolt tightening easier (less friction). Hence, sometimes preferred by contractors. If specified by a client, it could be a carryover from onshore specifications."
Subsea Engineering,Materials,Bolts,Are bolts for subsea applications specified with a galvanised finish?,"For nuts and bolts subject to CP, a thick coating of zinc is not required and can cause problems with threads, therefore thinner coatings are specified for corrosion resistance during transit and storage only. "
Subsea Engineering,Valves,Certification,For what valve components are Level 3.2 inspection certs typically required?,"The Fabulous 5 elements, i.e., the Body, Bonnet, Stem, Ball and Seats."
Subsea Engineering,Valves,Qualification,Is it acceptable to accept PR2 testing from previous valves/projects? ,"Generally, you can accept PR2 testing from previous projects, one size up or one size down is OK. Otherwise, perform project-specific PR2 testing (e.g., HHTP project 2024). A guide price (based on Wood 2022 in-house data) for PR2 valve testing is c.$50,000. HHTP cost in 2024 was $28,187. Typical schedule impact is 4-6 weeks."
Subsea Engineering,Valves,Seats,Why would you specify a DPE (double piston effect) seat on one side of a valve?,"SPE/DPE good for blind flange side. DPE offers more protection against leak downstream but is more costly. SPE (single piston effect allows pressure above the design pressure, in the cavity to be relived to the downstream pipe. DPE does not allow this, pressure builds up in cavity. Usually there is a separate means to relieve this pressure from the cavity."
Subsea Engineering,Materials,Qualification,Can you perform welding qualification if you don't have test rings/materials for the project?,"It's undesirable, but it may be acceptable if the contractor can find suitable materials with similar chemistry to the project materials, e.g., pipe, flanges, etc."
Project Management,PMBOK,Change Management,"You are managing a project, and a key stakeholder requests a change to the scope. What should you do first?",Evaluate the change request and its impact on the project before submitting it for formal approval.
Project Management,PMBOK,Risk Management,What is the first step in risk management?,Identify risks (usually the hazards in the first instance)
Project Management,PMBOK,Artifacts,Which document formally authorizes a project?,Project Charter
Project Management,PMBOK,Definitions,Which knowledge area ensures that the project includes all the work required and only the work required?,Scope Management
Project Management,PMBOK,Processes,What is the primary purpose of the Monitoring and Controlling [PMP] process group?,"Track, review, and regulate project performance."
Project Management,PMBOK,Processes,Which tool or technique is commonly used in the Plan Quality Management [PMP] process?,Fishbone Diagram
Project Management,PMBOK,Processes,"In the PMBOK, tailoring refers to:","Adapting processes, tools, and techniques to suit project needs."
Project Management,PMBOK,Stakeholder Management,What is the primary goal of stakeholder engagement?,To ensure stakeholders remain supportive of project objectives.
Project Management,PMBOK,Scheduling,The Work Breakdown Structure (WBS) is a deliverable-oriented hierarchical decomposition of the project work [True or False].,TRUE
Management & Leadership,Strategy,Definitions,What is Parkinson's Law?,Parkinson's Law states that work expands to fill the time available for its completion. More time or more people doesn't always mean faster/better results.
Management & Leadership,Strategy,Industry Insights,Why should leadership be involved in operations?,Being very involved in operations allows senior leaders to identify and remove bottlenecks as soon as they arise. This creates a fast moving culture that allows for quicker delivery/shipping/iteration.
Management & Leadership,Strategy,Industry Insights,Why should leadership routinely talk to all staff levels?,"Leadership must spend time talking to doers, not VPs/Directors. This gives leadership a better sense of how the company is doing and what are the needs at any given moment."
Management & Leadership,Strategy,Industry Insights,Why are excessive meetings in an organisation bad?,"Elon Musk - Excessive meetings are the blight of big companies and almost always get worse over time. Get rid of all large meetings, unless you're certain they are providing value to the whole audience, in which case keep them very short."
Management & Leadership,Strategy,Industry Insights,What is wrong with a chain of command culture?,"Communication should travel via the shortest path necessary to get the job done, not through the ""chain of command"". Managers should not enforce a chain of command culture. A major source of issues is poor communication between departments. The way to solve this is to allow the free flow of information between all levels. If, in order to get something done between departments, an individual contributor has to talk to their manager, who talks to a director, who talks to a VP, who talks to another VP, who talks to a director, who talks to a manager, who talks to someone doing the actual work, then super dumb things will happen. It must be ok for people to talk directly and just make the right thing happen."
Subsea Engineering,Landfalls,Direct Pipe,What coatings are commonly specified for direct-pipe casings on landfall crossings?,"External coating (4.5 mm 3LPE) provided to reduce friction during pipe pushing and mitigate corrosion (mainly for drain on pipeline CP if interaction occurs). Internal coating should be considered to also mitigate corrosion (and CP drain) if contact occurs between the casing and the pipeline. Usually the CWC is low within the casing and the anodes will be flush with the CWC. Hence, contact can occur between anode and casing. Testing can be peformed to test for contact but it may not be 100% accurate/reliable. "
Pipeline Engineering,Fishing Interaction,Design Checks,What are the main pipeline checks for fishing interaction?,Impact on the external surface and consequent possible denting of steel flowline structure. Hooking with consequent vertical lifting and possible overstressing of the flowline. Pullover with consequent lateral displacement and possible overstressing of the flowline. Forces may need to be combined with buckling and other forces if the frequency of occurence of fishing is high. This must be checked on a project by project basis.
Management & Leadership,Strategy,Definitions,What is Goodhart's law?,"Goodhart's law is an adage often stated as, ""When a measure becomes a target, it ceases to be a good measure"". It is named after British economist Charles Goodhart."
Management & Leadership,Strategy,Industry Insights,Why should frequent meetings be avoided?,"Frequent meetings disrupt workflow. Use meetings for urgent issues, critical discussions and to verify progress (where necessary). Use emails and chat (where possible) to resolve minor issues and for routine updates."
Data Science,Data Mining,Rule of Thumb,What is a rule-of-thumb missing value % cut-off for retention of a feature in a dataset? ,"If 50% or more values are missing for the feature, it is suggested to delete the feature."
Data Science,Data Mining,Rule of Thumb,Above what degree (%) of 'missingness' is imputation not advisable?,"Above 30%, imputation is not advisable. It should never be performed when 50% or more values for the feature are missing."
Data Science,Data Mining,Feature Engineering,What is a negative of one-hot encoding for categorical features?,"It can lead to high dimensionality, possibly longer training times and/or underperformance. For implementation, consider map function in Python or SciKit learn's one-hot encoder function."
Data Science,Data Mining,Data Preparation,Name three sampling strategies?,"1) Systematic, 2) Random, and 3) Stratified."
Data Science,Data Mining,Modelling,What is 'bias' in ML modelling?,"Bias is error from eroneous or overly simplfied assumptions, e.g., modelling a complex real-life problem with a simple model. High bias can be characterised by underfitting. "
Data Science,Data Mining,Modelling,"Give a descriptive explanation of 'variance' in ML modelling, stating what it represents/means for a model?",Error due to sensitivity to small fluctuations in the training dataset. High variance could be characterised as overfitting.
Data Science,Data Mining,Model Evaluation,Name three methods of ML model evaluation?,"1) Hold-out dataset, 2) K-fold cross validation, and 3) Bootstrapping."
Data Science,Data Mining,Model Evaluation,What is the 'irreducible error' of an ML model?,It is the error that can't reduced by creating a 'better' model. It is a measure of the amount of noise in the dataset. You will always have noise or 'irredicible' error.
Data Science,Data Mining,Modelling,What is the curse of dimensionality?,"When we spread observations of a dataset over a large number of observations, it can be difficult to find neighbours!"
Management & Leadership,Leadership,Practice,Name three techniques for influencing individuals to achieve business goals?,"Build relationships, understand motivations (the individual's compass), use your emotional intelligence, create trust and respect, sell the ideas/tasks/objectives/gioals, create a sense of urgency and excitement (inspire), leverage authority and expertise, cultivate a positive culture, provide meaningful incentives."
Management & Leadership,Leadership,Practice,Name three techniques/atributes for inspiring individuals to achieve business goals?,"Articulate a clear (actionable) strategy/vision, lead by example (show greatness somewhere), give one-to-one recognition and reward efforts, identify/differentiate cohorts, provide excellent support tools and processes."
Management & Leadership,Leadership,Practice,Name three techniques/atributes for guiding individuals to achieve business goals?,"Set clear goals and expectations, leadership should communicate regularly to doers (the 20% that deliver 80% of the business value), the leader should understand what great is (not delegate it), leaders should understand the vision (what great looks like)."
Pipeline Engineering,Installation,Landfalls,What is a typical water depth limit for DP monohull vessels when performing a pull-in as part of a landfall operation?,"Varies and depends on many factors. Can be as low as 15m. However, a more realistic number range is 25-30m. In shallow water, the thrusters are likely to stir up mud and debris from the sea floor and these can degrade the performance of the HPR system. They can also cause issues for environmental permitting."
Pipeline Engineering,Pre-comissioning,Standy Times,What is a typical upper bound standby/hold time for a pipeline to be left flooded (with inhibitors) after flooding?,12 months
Pipeline Engineering,Pre-comissioning,Drying,Why would you use MEG swabbing when drying with an offshore spread?,"Usually used to reduce the cost of the Nitrogen drying. If MEG or other chemicals are used you need to very careful about using oxygen for drying, preference is to use Nitrogen."
Pipeline Engineering,Installation,Diving,What is a typical limit for surface-supplied air diving?,50m but very limited work (endurance) durations.
Pipeline Engineering,Installation,Diving,What is a typical limit for surface-supplied mixed-gas diving?,"Maximum depth of 75 meters, benefit extended bottom time for deep dives 50-75 m, maximum bottom time is 30 minutes. Limited by diver''s physical endurance."
Pipeline Engineering,Installation,Diving,What is a typical limit for saturation (SAT) diving?,70-300+m. Shift durations (in the water) will vary between 4 and 6 hrs per diver. Depending on number of people in the bell and local/permit requirements.
Pipeline Engineering,Installation,Survey,What is '5-point' survey data?,"XYZ data for 5 cross-section points along a pipeline (1x top of pipe, 2x adjacent seabed and 2x mean seabed). Mean seabed is typically at 5m each side of the pipe centerline. Datapoints are typically recorded at 1m intervals."
Pipeline Engineering,Installation,Survey,What is '7-point' survey data?,"XYZ data for 7 points, the 5 points for 5-point (i.e., 1x top of pipe, 2x adjacent seabed and 2x mean seabed) plus 2x extra points for trenched profile/elevation."
Pipeline Engineering,Materials,Bends,When is cold bending used and what is the typical angle limit?,Cold bends are typically used in onshore pipeline project and may be utilised for bend angles less than 30 degrees. Cold bending eliminates the cost of procuring hot bends. Cold bending is not common practice offshore (would require very speciall offshore equiment and qualification procedures).
Pipeline Engineering,Materials,Bends,What is a field bend in onshore pipeline construction?,Field bends are cold bends made in the field during onshore pipeline construction to allow the pipe to conform to the contour of the ditch. 
Pipeline Engineering,Fishing Interaction,Frequency Class,"What are low, medium and high frequency classes according to DNV definitions?","Low (<1 trawl frequency [per year per km of pipeline), Medium (1-100) and High (>100)"
Management & Leadership,Strategy,Industry Insights,"Describe Ryanair's culture, as communicated in 2024?","Prepare for a downtrun everyday, use simple business processes, keep decision making fluid (bias towards action), execute the mundane, embrace technology, fluid management and two-way accountability, encourage and promote meritocracy (hard work, agile, winning and disrupting)."
Management & Leadership,Strategy,Fluid,What is a meant by a 'fluid' business process?,Fluid processes are continually being adapted and reformed to fit the actual needs and constraints of the situation in hand and to fulfill the overall goals of the involved actors in the best possible way.
Interviews,Management,Senior Communication,Can you tell us about a time you had to deliver a difficult message to a senior stakeholder?,TBW - Offsite review of progress of digital and technology function with CTO.
Interviews,Management,Decision Making,Can you tell about a time when you assessed a range of evidence to make a decision or recommendation?,TBR
Interviews,Management,Delivery at Pace,Can you tell us about a time when you had to manage multiple competing priorities to a high quality?,"In a previous role as Senior Project Managere I was tasked with leading two major projects simultaneously: the detailed design of a flowline system in deepwater for a new major client and delivery management for the construction of a new offshore shallow water pipeline for an old (but smaller) client. PRIORITIZATION: I worked with stakeholders to understand (and plot out) the business impact and deadlines for both projects. This helped me allocate resources appropriately. For instance, the deepwater design project had a series of hard delivery dates (linked to LDs), while the shallow water delivery management project was more fluid due to delays with the avaiability of the main EPC contractor. DELEGATION: I leveraged my team’s strengths by assigning specific tasks to individuals based on their expertise. COMMUNICATION: I set up clear milestones for both projects and maintained open communication with stakeholders. Weekly checkins ensured transparency and allowed me to address any blockers quickly. AUTOMATION: To save time and reduce (by 30%) the working hours to deliver the detailed design project, we doubled down on reusable automation scripts for analysis creation, optimisation and results processing."
Interviews,Management,Relationships,Can you tell us about a time when you had to overcome a difficult challenge when working in a group?,TBR
Project Management,PMBOK,Definitions,"In PM, what is the project charter?","A project charter establishes a partnership between the performing organization and the  requesting organization (or customer, in the case of external projects). The approved project charter formally initiates the project. The project charter includes the business case explaining why the project is necessary, formally authorizes the project manager to start the project and apply organizational resources to create the project deliverable(s), defines the high-level scope, includes high-level budget, includes key stakeholders, includes preliminary risk register, and is signed off by the project sponsor."
Project Management,PMBOK,Definitions,"In PM, what is the business case?",Documentation to justify the project investment.
Project Management,PMBOK,Definitions,Name two categories of cost benefits analysis used for project selection? ,"Method 1: Benefit measurement method (comparative approach), includes a) Murder Board - a panel of people who try to shoot down a new project idea, b) Peer Review, c) Scoring Models, d) Economic models (e.g., Present value, Net present value, IRR, Payback period, Benefit-cost ratio). Method 2: Constrained optimisation methods (mathematical approach), includes a) Linear programming, b) Integer programming, c) Dynamic programming and d) Multi-objective programming."
Pipeline Engineering,Global Buckling,Methodology,What are the main steps of a global buckling assessment for subsea rigid pipelines?,"STEP 1: Buckling susceptibility assessment, STEP 2: Rogue buckling strength checks, STEP 3: Rolerable Virtual Anchor Spacing assessment, STEP 4: Combined model checks (final sleeper locations and any walking mitigation devices added)."
Structural Engineering,Renovation,External Wall Insulation,What are the main considerations when retro fitting insulation to an old solid external wall?,"The solid wall must be able to dry from both sides for full reliabilty. Especially in areas of high and exposed rainfall. In dry areas, with low rainfall, or certain conditions (all walls have good exposure to wind to dry them out), you might get away with blocking the inner face with an insulated barrier (e.g., PIR insulation). However, in an area with high rainfall, the most reliable and extensible method (there are others if the wall itself is not damp, see www.greenspec.co.uk) is to leave a small cavity (say 50mm) and use a vapour permeable insulation (e.g., mineral fibre nsulation). You will need more space compared to PIR to achieve the same U-value requirements."
Subsea Engineering,Mooring Systems,Suction Piles,What is a typical suction anchor size for the mooring system on submerged turret loading buoy for an FSRU in 80m water depth?,"9m diameter, with depths ranging between 12m and 20m+ depending on soil conditions, FSRU size and environmental factors."
Subsea Engineering,Materials,Bolts,Why should Grade 10.9 bolts be avoided subsea when connection is made to a CP system for corrosion protection of the bolts?,Increased  HISC risk as Garde 10.9 are susceptible. Better to use (lower strength) Grade 8.8 bolts.
Data Science,Statistics,Definitions,What is the definition of the variance of a dataset?,The variance is the average of the squared distances between the data values and the average.
Data Science,Statistics,Definitions,What is the definition of the standatf deviation of a dataset?,The standard deviation is the sqaure root of the variane.
Data Science,Statistics,Definitions,What is the definition of the skewness of a dataset?,Skewness is a measure of how skewed the distribution is compared to a symmetrical distribution.
Structural Engineering,Blockwork,Wall Ties,What is the minimum embedment for wall ties in cavity wall construction?,50mm
Structural Engineering,Blockwork,Rubble Walls,How do you calculate permissable stresses for random rubble walls?,"Per CP111, take 75% of the corresponding stresses for coursed walling for similar materials."
Structural Engineering,Timber,Dormer/Opes,How do you detail rafters or joists around dormer (or other) openings in rook or ceiling spaces?,"Double up rafters where 1-2 rafters are cut. Treble up rafters where 3-4 rafters are cut. However, structural design should always be checked with appropriate detailed calculations."
Structural Engineering,Timber,Floors,What is the rule-of-thumb for fitting bridging (spacing and depth) in timber floors?,"For spans greater 2.7m, install bridging at max 1350mm CRS. Bridging should be at least 0.75 x the joist depth (according to IS 444)."
Structural Engineering,Loading,Wind,What is a typical dynamic pressure wind force for IRL/UK in scheme design in the absence of detaled calculations?,"Typically, between 1.0 kN/m2 and 1.2 kN/m2."
Structural Engineering,Loading,Timber Floors,What is the typical dead load of a timber floor (excluding partitions)?,0.5 kN/m2
Structural Engineering,Loading,Timber Flat Roof,What is the typical dead load of a timber flat roof?,0.8 kN/m2
Structural Engineering,Loading,Timber Pitched Roof,What is the typical dead load of a timber pitched roof including attic space?,1.15 kN/m2
Structural Engineering,Movement,Joints,What is the typical spacing of primary movement joints in steel industrial buildings?,100m typical up to 150m maximum
Structural Engineering,Movement,Joints,What is the typical spacing of primary movement joints in steel commercial buildings?,50m typical up to 100m maximum
Structural Engineering,Movement,Joints,What is a primary movement joints in a building?,"Primary movement joints prevent cracking where buildings (or parts of buildings) are large, where a building spans different ground conditions, changes height considerably or where the shape suggests a point of natural weakness."
Structural Engineering,Movement,Joints,What is the typical spacing of primary movement joints in a masonry buildings?,40m-50m typical
Structural Engineering,Movement,Joints,What is the typical spacing of primary movement joints in an RC building?,"25m (e.g., for roofs with large thermal differentials) to 50m (typical)."
Structural Engineering,Movement,Joints,What is a secondary movement joint in a building?,Secondary movement joints are used tro divide the structural elements into smaller elements to deal with local effects of temperature and moisture content.
Structural Engineering,Movement,Joints,What is the typical spacing of secondary movement joints in an blockwork building?,3m-7m
Structural Engineering,Movement,Joints,What is the typical spacing of secondary movement joints in a brickwork (clay) facade?,Up to 12m on plans (6m to corners) and 12m vertically or every 3rd storey if the building is greater than 12m or four storeys high.
Data Science,Data Mining,Ensemble Learning,Give some examples of ensemble learning?,"Bagging - Bootstrap aggregation, i.e., sampling with replacement hence will contain duplicates and create diversity in the model with the goal of being less sensitive to overfitting. Sub-space smapling (e.g., Random Forests), Boosting - Similar to bagging but more sophistication, i.e., the main difference is that you apply weights to the selection of the data to create a training set (increase weights of misclassified examples)."
Pipeline Engineering,Walking,Mitigation Devices,Name a pipeline walking device suited to shallow water and rocky/hard ground conditions?,"One technique for anchoring walking lines in shallow water is the adoption of PCMs (post clamped Mattresses). The resence of hardground/rock, means you are unable to adopt a skirted foundation type and the preference is usually to rely on a device that simply works on a friction basis. However, dependning on anchor forces, the number of device required could be significant."
Pipeline Engineering,Walking,Mitigation Devices,Name a pipeline walking device suited to deepwater and clay/sand ground conditions?,"Post-installed skirted anchor, typical max anchor force 1,000-1,500kN."
Subsea Engineering,Drilling,Jackup Rigs,What is a typical max water depth for the use of a jack-up rig?,125m
Data Science,LLMs,Transformers,"In data science, what is a 'transformer' and the principle of 'attention'?","The Transformer is an encoder-decoder architecture that uses multi-head self-attention. The encoder inputs a sequence of words, for example, a sentence in Spanish, and generates a vector representation. The decoder inputs the vector and outputs a difference sequence, for example, the translation of the sentence in English. Self-attention is a way of measuring the strength of relationships between words in a sentence. For example, in ""The cat is white and it likes to sleep"", self-attention allows to associate ""it"" with ""cat"". This process is enabled by a query matrix that represents ""it"" and a key and a value matrices that represent the rest of the words. These 3 matrices are learned during the training process. Each head is a different self-attention procedure that creates different representations of the query, key, and value matrices. It lets the transformer consider several previous words simultaneously, and makes it robust at understanding the text."
Pipeline Engineering,Certification,CA,What is the role of the certifying authority (CA) on a pipeline project?,"The Certifying Authority (CA) is an independent body who is appointed by Company and is responsible for certifying the project upon completion. The CA will verify that the project has been designed, fabricated, constructed and operated in accordance with the project's primary codes and standards. The CA is expected to identify errors or failures, along the different project phases, and contribute to reducing the risks to the operation of the pipeline system to preserve health and safety of human life and the surrounding environmental."
Pipeline Engineering,Certification,TPI,What is the typical role of a third-party inspector (TPI) during offshore construction on a pipeline project?,"The TPI shall fully review and witness all documents and activities that cover welding and Field Joint Coating (FJC) inspection requirements associated with the construction phase of the project.  And inspection coverage for pre-commissioning and commissioning works is also required. The TPI role is not always required, depends on client preferences. The TPI will have a more permanent presence than the CA. For efficiency, the CA and TPI roles are often combined and awarded to the same entity."
Data Science,Modelling,Regression,What is Linear Regression?,"Linear Regression is a mathematical relationship between an independent and dependent variable. The relationship is a direct proportion, relation making it the most simple relationship between the variables. Y = mX + c where Y = dependent variables, X = independent variables, m and c are constants."
Data Science,Modelling,Regression,What are the main assumptions of Linear Regression?,"1) The relationship between Y and X must be Linear, 2) The features must be independent of each other, 3) Homoscedasticity - The variation between the output must be constant for different input data and 4) The distribution of Y along X should be the Normal Distribution."
Data Science,Modelling,Regression,What is Logistic Regression?,Logistic Regression is a Binary Classification function. It is a statistical model that uses the logit function on the top of the probability to give 0 or 1 a s a result.
Data Science,Modelling,Regression,What is the loss function in Logistic Regression?,TBR - The loss function in LR is known as the Log Loss function.
Data Science,Modelling,Techniques,What is the main difference between Regression and Classification?,The major difference between Regression and Classification is that Regression results in a continuous quantitative value while Classification is predicting the discrete labels.
